'bout|bao
loft's|lóp tờ xờ
lofthouse|lóp tờ hao
lofthus|láp thít
loftier|lóp tiờ
loftin|láp tin
loftis|láp tít
lofton|láp tăn
lofts|lóp tờ xờ
loftus|lóp tắt
lofty|lóp ty
log|lóch
logan|lốch găn
logar|lốch gờ
logarithm|lách gờ i dăm
logarithmic|lách gờ i mích
logarithms|lách gờ i dăm dờ
logbook|lóch búch
loge|lốch
loges|lốch gii
logged|lóch đờ
logger|lách gờ
loggerhead|lách gớch hét
loggerheads|lách gớch hét dờ
loggers|lách gơ
loggia|lách gia
logging|lóch ging
loggins|lách gin dờ
loghry|la gờ ry
logic|lô gíc
logica|lách giích ca
logical|lách giích că
logically|lách giích ly
logician|lốch giít săn
logicon|lách giích can
logie|lốch giy
login|lốc in
logistic|lắch giít tích
logistical|lắch giít tích că
logistically|lắch giít tích ly
logistics|lắch giít tích xờ
logiudice|lốch giút đắt
logjam|lách giam
logjams|lách giam dờ
logo|lốch gô
logogram|lóch ga gờ ram
logograms|lóch ga gờ ram dờ
logographic|lóch ga gờ ra phích
logophilia|lốch gô phi lia
logos|lốch gô
logothetis|lốch gô thét tít
logout|lóch gao
lograsso|lô gờ rát xô
logs|lóch dờ
logsdon|lách dờ đăn
logston|lách xờ tăn
logue|lốch
loguidice|lốch gai đít
logwood|lách guút
loh|lô
lohengrin|lô an gờ rin
lohman|lô măn
lohmann|lô măn
lohmeier|lô maiờ
lohmeyer|lô maiờ
lohn|lan
lohner|lô nờ
lohnes|lôn dờ
lohr|lo
lohrenz|lo rin xờ
lohrey|la ry
lohrman|lo măn
lohrmann|lo măn
lohse|lốt
loiacano|lô ách ca nô
loiacono|lô ách cô nô
loibl|loi bă
loin|loi
loincloth|loi cờ lót
loire|loi
lois|lô át
loise|lu át
loise|lu át
loiseau|lu át xô
loisel|loi deo
loiselle|loi deo
loiter|loi tờ
loitering|loi tờ ing
lok|lách
loken|lốch căn
loker|lốch cờ
lokey|lốch cy
lokken|lách căn
lol|lo
lola|lô la
loleta|lô lét ta
lolita|lô lít ta
loll|la
lollapalooza|la lắp pă lu da
lollapaloozas|la lắp pă lu dă
lollar|la lờ
lollard|la lớt
lolley|la ly
lolli|la ly
lolling|la ling
lollipop|la líp páp
lollipops|la líp páp xờ
lollis|lă lít
lolly|la ly
loma|lô ma
loma-prieda|lô ma pờ ry ây đa
lomak|lô mách
loman|lô măn
lomas|lô mă
lomasney|la mắt ny
lomax|lô mách xờ
lomb|lam
lomba|lam ba
lombard|lam ba đờ
lombardi|lam ba đy
lombardo|lam ba đô
lombards|lam ba đờ dờ
lomeli|lô meo ly
lommen|lô măn
lomonaco|lô mô nách cô
lompoc|lam pách
lon|lan
lona|lô na
lonardo|lô na đô
lonas|lô nă
loncar|lan ca
londo|lan đô
london|luân đôn
london's|lăn đăn dờ
londonderry|lăn đăn đe ry
londoner|lăn đa nờ
londoners|lăn đa nơ
londono|lôn đô nô
lone|lôn
loneliness|lôn ly nắt
lonely|lôn ly
loner|lô nờ
lonergan|la nớch găn
lonero|lô ne rô
loners|lô nơ
lones|lôn dờ
lonesome|lôn xăm
lonetree|lôn try
loney|lô ny
long|long
long's|long dờ
long-beach|long bích
long-distance|long đít tăn xờ
long-island|la nai lăn đờ
long-overdue|la nốp vớt đu
long-range|la nờ rên giờ
long-term|long tơm
long-winded|long guin đít
longacre|la nếch cờ
longaker|lang gắch cờ
longan|lang găn
longanecker|lang ga néch cờ
longbow|long bô
longbrake|long bờ rếch
longcor|lông gờ co
longden|long đen
longe|lan giờ
longed|long đờ
longenecker|lan giờ néch cờ
longer|long gờ
longerbeam|long gớp bim
longest|long gắt tờ
longest|long gắt tờ
longevity|lon giép vắt ty
longfellow|long pheo lô
longfield|long phi đờ
longhair|long he
longhand|long han đờ
longhi|lon gy
longhorn|long ho nờ
longhorns|long ho nờ dờ
longhouse|long hao
longhurst|lang hớt tờ
longing|la ning
longingly|la ning ly
longings|la ning dờ
longino|lông gy nô
longish|la nít
longitude|lan giắt tút
longitudes|lan giắt tút dờ
longitudinal|lan giắt tút đa nă
longleaf|long líp
longleg|long léch
longlegs|long léch dờ
longley|lang gờ ly
longman|long măn
longmeyer|long maiờ
longmeyer's|long mai ơ
longmire|lang mai
longmont|long man tờ
longmore|lông mo
longnecker|long néch cờ
longo|long gô
longobardi|lông gốp ba đy
longoria|lông go ria
longpre|lang pờ
longrange|la nờ rên giờ
longs|long dờ
longshore|long so
longshoremen|long so min
longshoremen's|long so min dờ
longshot|long sát
longspur|long xờ pờ
longspurs|long xờ pơ
longstaff|long xờ táp
longstanding|long xờ tan đing
longstreet|long xờ trít
longstreth|lang xờ trét
longsworth|long dờ guớt
longterm|long tơm
longtime|long tai
longtin|long tin
longton|long tăn
longuet|long guét
longview|long viu
longwell|long gueo
longwood|long guút
longworth|long guớt
loni|la ny
lonigro|lô ny gờ rô
lonnie|la ny
lonny|la ny
lonon|lô năn
lonrho|la nờ rô
lonrho's|la nờ rô
lons|lan dờ
lonsdale|lan xờ đê
lonski|lan xờ cy
lonsky|lan xờ cy
lonsky's|lan xờ ci
lonsway|lan xờ gu ây
loo|lu
looart|lu a tờ
looby|lúp by
look|lúch
lookabaugh|lúch cắp ba
lookabill|lúch cắp bi
lookalike|lúch că lai
looked|lúch tờ
looker|lúch cờ
lookers|lúch cơ
lookin'|lúch cin
looking|lúch cing
lookingbill|lúch cing bi
lookit|lúch cít
lookout|lúch cao
looks|lúch xờ
lookup|lúch cắp
lookups|lúch cắp xờ
loom|lum
looman|lu măn
loomed|lum đờ
loomer|lu mờ
looming|lu ming
loomis|lu mít
looms|lum dờ
loon|lun
looney|lu ny
loong|lung
loons|lun dờ
loony|lu ny
loop|lúp
looped|lúp tờ
looper|lúp pờ
loopers|lúp pơ
loophole|lúp hô
loopholes|lúp hô dờ
looping|lúp ping
loops|lúp xờ
loopy|lúp py
loos|lu
loose|lút
loosed|lút tờ
loosely|lút ly
loosen|lút xăn
loosened|lút xăn đờ
loosening|lút xa ning
loosens|lút xăn dờ
looser|lút xờ
looses|lút xi
loosestrife|lút xờ trai
loosestrife|lút xờ trai
loosestrifes|lút xờ trai xờ
loosestrifes|lút xờ trai xờ
loosing|lút xing
loot|lút
looted|lút tắt
looted|lút tắt
lootens|lút tăn dờ
looter|lút tờ
looters|lút tơ
looting|lút ting
lop|láp
lop-ear|láp pi
lopardo|lốp pa đô
lopata|lốp pát ta
lopatin|lốp pát tin
lope|lốp
lopeman|lốp măn
loper|lốp pờ
lopes|lốp xờ
lopez|lốp pe
lopez's|lốp pe di
lopiccolo|lốp pích cô lô
lopid|lốp pít
lopinto|lắp pin tô
lopp|láp
lopped|láp tờ
loppers|láp pơ
lopping|láp ping
loppnow|láp nao
lopresti|lô pờ rét ty
lopresto|lô pờ rét tô
loprete|lô pờ rít
lopsided|láp xai đít
loquacious|lốch guết sắt
loquat|lốch guát
lor|lo
lora|lo ra
lorah|lo ra
lorain|lờ ây
loraine|lờ ây
loral|lo ră
loral's|lo ră dờ
loran|lo ran
lorance|lo răn xờ
lorang|lo răng
loranger|lo rên giờ
lorber|lo bờ
lorch|lo cờ
lord|lo đờ
lord's|lo đờ dờ
lorden|lo đăn
lordi|lo đy
lordly|lo đờ ly
lords|lo đờ dờ
lordship|lo đờ síp
lordstown|lo đờ dờ tao
lordy|lo đy
lore|lo
lorean|lo ry an
lorean's|lo rin dờ
loredo|lo rết đô
loree|lo ry
lorei|lo rây
lorek|lo rích
lorelei|lo ri lai
lorelli|lo reo ly
lorello|lo reo lô
loren|lo răn
lorena|lo rê na
lorena's|lo rê nă
lorenc|lo ring cờ
lorence|lo răn xờ
lorene|lo rin
lorensen|lo rin xăn
lorenson|lo rin xăn
lorentz|lo rin tờ xờ
lorentzen|lo rin tờ dăn
lorenz|lờ en tờ xờ
lorenza|lo ren da
lorenzana|lo ren da na
lorenzen|lo rin dăn
lorenzetti|lo ren dét ty
lorenzi|lo ren dy
lorenzini|lo ren dy ny
lorenzo|lờ en dô
lorenzo|lờ en dô
lorenzo's|lo ren dô
lorenzo's|lo ren dô
loreto|lo rét tô
loretta|lờ ét ta
lorette|lo rét
loretto|lo rét tô
lorey|lo ry
lorge|lo giờ
lorgnette|lo ni ét
lorgnettes|lo ni ét xờ
lori|lo ry
lori's|lo ri
loria|lo ria
lorick|lo rích
lorie|lo ry
lorillard|lo ră la đờ
lorimar|lo ra ma
lorimar's|lo ra ma dờ
lorimer|lo ri mờ
lorimor|lo ri mờ
lorin|lo rin
lorincz|lo rin chờ
loring|lo ring
lorino|lo ry nô
lorio|lo riô
loris|lo rít
lorita|lo rít ta
lorman|lo măn
lormand|lo măn đờ
lorna|lo na
lorne|lo nờ
loro|lo rô
lorraine|lờ ây
lorrie|lo ry
lorries|lo ri
lorry|lo ry
lorson|lo xăn
lortel|lo teo
lortie|lo ty
lorton|lo tăn
lortz|lo tờ xờ
lorusso|lo rút xô
lory|lo ry
los|lốt
los|lốt
los-angeles|lót xan giă lắt
los-palmas|lát pa mắt
losada|lốt xát đa
losasso|lốt xát xô
loscalzo|lốt ca dô
losch|lót
loschiavo|lốt cy áp vô
lose|lu
losec|lô dắch
losee|lắt xy
loseke|lát xích
loser|lu dờ
losers|lu dơ
losers'|lô dơ
loses|lu dă
loses|lu dă
losey|lát xy
losh|lát
losing|lu ding
losinski|lắt xin xờ cy
losito|lốt xít tô
loso|lốt xô
losoya|lát xoia
loss|lót
losses|lót xă
losses|lót xă
lossing|lót xing
lost|lót tờ
losurdo|lốt xu đô
losure|lô giờ
lot|lát
lot|lát
lot's|lát xờ
loth|lát
lothian|la thy an
lothrop|la thờ rắp
lothrop|la thờ rắp
lothson|lát xăn
lotion|lốt săn
lotion's|lốt săn dờ
lotions|lốt săn dờ
lotito|lốt tít tô
loton|lốt tăn
lots|lát xờ
lotspeich|lát xờ pai
lott|lát
lott's|lát dờ
lotta|lát ta
lotte|lót te
lotter|lát tờ
lotteries|lát tờ i
lottery|lát tơy
lottes|lát xờ
lottie|lát ty
lottman|lát măn
lotto|lát tô
lotto|lát tô
lotts|lát xờ
lotty|lát ty
lotus|lốt tắt
lotus'|lốt tắt
lotus's|lốt tắt xi
lotz|lát xờ
lotze|lốt dờ
lou|lu
lou's|lu
louanna|lao a na
louanna|lao a na
louanne|lu an
louart|lu a tờ
louche|lút
louck|lao
loucks|lao xờ
loud|lao
louden|lao đăn
loudenslager|lao đin xờ lếch gờ
louder|lao đờ
louderback|lao đớp bách
loudermilk|lao đờ mi cờ
loudest|lao đắt tờ
loudin|lút đan
loudly|lao ly
loudon|lao đăn
loudspeaker|lao xờ pích cờ
loudspeakers|lao xờ pích cơ
louella|lao eo la
louganis|lúch gây nít
louganos|lúch ga nô
lougee|lao giy
lough|lao
lougheed|lao ít
loughery|lao ơy
loughlin|lóp lin
loughman|lao măn
loughmiller|lao mă lờ
loughner|lao nờ
loughney|lao ny
loughran|lao răn
loughrey|lao ry
loughridge|lao rích
loughry|lao ry
louie|luy
louima|lu i ma
louima's|lu i mă
louis|lu i
louis|lu i
louis'|lu ít
louis'|lu ít
louis'|lu ít
louis's|lu ít xi
louisa|lu i da
louisan|lu ít xăn
louise|lu i
louisette|lờ gui dét
louisiana|lu i dy a na
louisiana's|lu i dy a nă
louisianian|lu i dy a ny an
louisianians|lu i dy a ny an dờ
louisville|lu íp vi
louk|lao
louks|lao xờ
lounge|lao giờ
lounges|lao gii
lounging|lao giing
lounsberry|lao xờ be ry
loup|lúp
loupe|lúp
louque|lúch
lour|lao
lourdes|lo đờ dờ
loureiro|lu re rô
lourenco|lao ren cô
lourie|lao ry
loury|lu ry
louse|lao
loused|lao đờ
lousiness|lao dy nắt
lousy|lao dy
lout|lao
louth|lao
louthan|lao thăn
louts|lao xờ
loutzenhiser|lao din hai dờ
louvier|lao viờ
louviere|lúp vy e
louvre|lu v ra
louw|lu
loux|lu
lovaas|láp va
lovable|lắp vắp bă
lovage|lắp vắch
lovallo|lốp va lô
lovan|lốp văn
lovas|lốp vă
lovastatin|lốp vát tắt tin
lovato|lốp vát tô
love|lắp
love's|lắp dờ
loveall|lắp vo
lovecchio|lắp véch ciô
loved|lắp đờ
loveday|lắp đây
lovegrove|lắp gờ rốp
lovejoy|lắp gi oi
lovelace|lắp lết
lovelan|lắp lăn
loveland|lắp lăn đờ
loveless|lắp lắt
lovell|lắp vă
lovely|lắp ly
lovemaking|lắp mếch cing
loven|lắp văn
lover|lắp vờ
lover's|lắp vơ
loverde|lốp ve đy
loveridge|la v rích
lovering|lắp vờ ing
lovern|lắp vơn
lovers|lắp vơ
lovers'|lắp vơ
loves|lắp dờ
lovett|lắp vít
lovette|lắp vét
lovewell|lắp gueo
lovgren|láp gờ ren
lovick|láp vích
lovie|lắp vy
loville|lốp vi
lovin|lốp vin
loving|lắp ving
lovinger|lắp vi nờ
lovingly|lắp ving ly
lovingood|láp ving gút
lovings|lắp ving dờ
lovins|lốp vin dờ
lovitt|láp vít
lovitz|lốp vít xờ
lovler|lắp lờ
lovler's|lắp lơ
lovvorn|láp vơn
low|lô
low-cost|lốch cót tờ
low-income|lô in căm
low-level|lô lép vă
low-spirited|lốt pi rắt tít
low-spiritedness|lốt pi rít tít nắt
low-tech|lốt téch
lowborn|lốp bo nờ
lowden|lốt đăn
lowder|lốt đờ
lowdermilk|lốt đờ mi cờ
lowdown|lốt đao
lowe|lô
lowe's|lô
lowekamp|lốch cam pờ
lowell|lô a
lowen|lô an
lowenberg|lô an bớch
lowensky|lô en xờ cy
lowenstein|lô an xờ tai
lowenstein|lô an xờ tai
lowenthal|lô in thă
lower|lôờ
lowered|lô ớt
lowering|lô ơ ing
lowers|lô ơ
lowery|lao ơy
lowes|lô
lowest|lô át tờ
lowey|lôy
lowing|lô ing
lowinsky|lă guin xờ cy
lowland|lô lan đờ
lowlands|lô lan đờ dờ
lowly|lô ly
lowman|lô măn
lown|lao
lowndes|lôn đi
lowndes|lôn đi
lowney|lô ny
lowrance|lo răn xờ
lowrey|lao ry
lowrie|lo ry
lowrimore|lo ry mo
lowry|lao ry
lows|lô
lowther|lô dờ
lowy|lôy
lox|lách xờ
lox|lách xờ
loy|loi
loya|loia
loyal|loi a
loyalist|loi a lít tờ
loyalists|loi a lít tờ xờ
loyall|loi a
loyally|loi a ly
loyalties|loi a ti
loyalton|loi a tin
loyalty|loi a ty
loyce|loi
loyd|loi
loye|loi
loyer|loiờ
loynd|loi đờ
loyola|loi ô la
loza|lô da
lozad|lô dát
lozada|lô dát đa
lozano|lô da nô
lozano's|lô da nô
lozeau|lă dô
lozenge|lo dăn giờ
lozenges|lo dăn giă
lozier|lô diờ
lozinski|lă din xờ cy
lozito|lô dít tô
lozon|lô dăn
lozoya|lô doia
lp|eo py
lpn|eo py en
ls|eo lét
lsd|eo lét đy
ltd|li mít tít
ltd|li mít tít
ltd.|li mít tít
lti|ét tiai
lti's|ét ty ai
lu|lu
lua|lua
luaka|lu ách ca
luallen|lu a lăn
luana|lu a na
luanda|lu an đa
luanda's|lu an đă
luane|lu an
luau|luao
luba|lúp ba
lubar|lúp ba
lubarsky|lắp ba xờ cy
lubas|lúp bă
lubavitch|lúp bắp vích
lubavitcher|lúp bắp vích chờ
lubavitcher|lúp bắp vích chờ
lubavitcher's|lúp bắp vích chơ
lubavitcher's|lúp bắp vích chơ
lubavitchers|lúp bắp vích chơ
lubavitchers|lúp bắp vích chơ
lubben|lắp băn
lubber|lắp bờ
lubbers|lắp bơ
lubbock|lắp bắch
lube|lúp
lube's|lúp dờ
lubeck|lúp béch
lubell|lúp beo
lubensky|lúp ben xờ cy
luber|lúp bờ
lubicons|lúp bích can dờ
lubin|lúp bin
lubinov|lúp ba náp
lubinov|lúp ba náp
lubinski|lắp bin xờ cy
lubinsky|lắp bin xờ cy
lubitz|lúp bít xờ
lubke|lắp cờ
lublin|lắp lin
lubow|lúp bô
lubowski|lúp bao cy
lubrano|lu bờ ra nô
lubricant|lu bờ rắch căn tờ
lubricants|lu bờ rắch căn tờ xờ
lubricants|lu bờ rắch căn tờ xờ
lubricants|lu bờ rắch căn tờ xờ
lubricants|lu bờ rắch căn tờ xờ
lubricate|lu bờ rích cết
lubricated|lu bờ rắch cết tít
lubricating|lu bờ rắch cết ting
lubrication|lu bờ rích cết săn
lubricious|lu bờ rít sắt
lubricity|lu bờ rít xít ty
lubrizol|lu bờ ri da
luby|lúp by
luc|lúch
luca|lúch ca
lucado|lúch cát đô
lucarelli|lúch ca reo ly
lucas|lúch cắt
lucas'|lúch cắt
lucas's|lúch cắt xi
lucasfilm|lúch cát phi mờ
lucasfilm|lúch cát phi mờ
lucasville|lúch cắt vi
lucca|lúch ca
lucchese|lúch cê dy
lucchesi|lúch cét xy
lucchetti|lúch cét ty
lucci|lúch chy
lucco|lúch cô
luce|lút
luce's|lút xi
lucent|lút xin tờ
lucente|lúch chen ty
lucerne|lút xơn
lucero|lúch che rô
lucette|lút xét
lucey|lút xy
luchini|lúch cy ny
luchsinger|lắch xin giờ
lucht|lắch tờ
lucia|lút sa
lucian|lút săn
luciani|lúch cha ny
lucianna|lúch cha na
lucianne|lút xy an
luciano|lúch chy a nô
lucich|lắch chích
lucid|lút xắt
lucida|lúch chít đa
lucidity|lút xít đít ty
lucido|lúch chít đô
lucie|lút xy
lucien|lút xy an
lucienne|lúch chy en
lucier|lút xiờ
lucifer|lút xa phờ
lucile|lút xi
lucille|lút xi
lucinda|lút xin đa
lucio|lút xiô
lucite|lút xai
lucius|lút sắt
luciw|lút xi
luck|lắch
lucke|lắch
lucked|lắch tờ
lucken|lắch căn
luckenbach|lắch cin bách
luckenbaugh|lắch cen ba
luckenbill|lắch cin bă
lucker|lắch cờ
luckett|lắch cít
luckey|lắch cy
luckhardt|lắch ha tờ
luckie|lắch cy
luckier|lắch ciờ
luckiest|lắch cy át tờ
luckily|lắch că ly
lucking|lắch cing
luckless|lắch lắt
luckman|lắch măn
luckow|lắt cô
lucks|lắch xờ
lucky|lắch cy
lucky's|lắch ci
luckyn|lắch cin
lucodendrum|lúch cốt đen đờ răm
lucrative|lu cờ rắt típ
lucrecia|lu cờ rít sa
lucretia|lu cờ rít sa
lucrezia|lu cờ rít sa
lucus|lúch cắt
lucy|lút xy
lucy's|lút xi
luczak|lắch chách
ludcke|lắt cy
ludden|lắt đăn
luddite|lắt đai
luddites|lắt đai xờ
luddy|lắt đy
ludeke|lắt đích
ludella|lút đeo la
ludeman|lút măn
ludemann|lút măn
ludewig|lắt đu ích
ludicrous|lút đa cờ rắt
ludicrously|lút đa cờ rắt ly
ludington|lắt đing tăn
ludite|lút đai
ludites|lút đai xờ
ludke|lắt cy
ludlam|lắt lăm
ludlam's|lắt lăm dờ
ludlow|lắt lô
ludlum|lắt lăm
ludlum's|lắt lăm dờ
ludmer|lắt mờ
ludmila|lắt mai la
ludmilla|lắt mi la
ludo|lút đô
ludology|lút đo lắch giy
ludolph|lút đô phờ
ludtke|lắt cy
ludvigsen|lắt vích xăn
ludvigson|lắt vích xăn
ludvik|lắt vích
ludwick|lắt guích
ludwig|lắt guích
ludwiga|lắt vai ga
ludwigshafen|lắt guích sa phăn
ludwin|lắt guin
ludy|lút đy
lue|lu
luebbe|lúp
luebbers|lúp bơ
luebbert|lúp bớt
luebke|lúp cờ
lueck|lu ích
luecke|lúch
luedecke|lút đích
lueder|lút đờ
lueders|lút đơ
luedke|lút cy
luedtke|lút cy
lueh|lờ guê
luehring|lu ring
luehrs|lu dờ
lueken|lúch căn
luella|lu eo la
luelle|lu
luellen|lu lăn
luepke|lúp cy
luera|lu e ra
lueras|lu ră
lueras|lu ră
luers|lu ơ
luerssen|lu xăn
lueth|lút
luetkemeyer|lút ci maiờ
luevano|lu ép va nô
luff|lắp
luffed|lắp tờ
luffman|lắp măn
lufkin|lắp cin
luft|lắp tờ
lufthansa|lắp tan da
lufthansa's|lắp tan dă
luftig|lắp tích
luftkin|lắp tờ cin
lufttransport|lắp tran dờ po tờ
lug|lắch
lugano|lúch ga nô
lugar|lúch gờ
lugar's|lúch gơ
lugarda|lúch ga đa
luge|lúch
luger|lúch gờ
lugers|lúch gơ
luggage|lắch gắch
luggage|lắch gắch
lugging|lắch ging
lugi|lúch gy
luginbill|lắch gin bă
luginbuhl|lắch gin bă
lugkov|lúch cóp
lugo|lúch gô
lugosi|lúch gốt xy
lugosi|lúch gốt xy
lugs|lắch dờ
luguarda|lúch ga đa
lugubrious|lúch giờ u bờ ry át
lugworm|lắch guơm
lugworms|lắch guơm dờ
luhman|la măn
luhmann|la măn
luhn|lăn
luhr|lờ
luhr|lờ
luhring|lu ring
luhrs|lu dờ
lui|lui
luick|lúch
luigi|lu ích giy
luigi's|lu ích gii
luigi's|lu ích gii
luikart|lúch ca tờ
luis|lu i
luisa|lu i da
luisi|lút xy
luiz|lu
lujan|lu an
luk|lắch
luka|lúch ca
lukach|lắch cắch
lukacs|lắch cắch xờ
lukas|lúch că
lukash|lúch cát
lukasiewicz|lắch cát xắp vích
lukasik|lắch cát xích
lukaszewski|lắch cắt sép xờ cy
lukavica|lúch cắp vích ca
lukavizta|lúch cắp vít xờ ta
luke|lúch
luke's|lúch xờ
lukehart|lúch ha tờ
luken|lúch căn
lukenbill|lúch cin bi
lukens|lúch căn dờ
luker|lúch cờ
lukes|lúch xờ
lukewarm|lúch guo mờ
lukin|lúch cin
lukins|lúch cin dờ
lukman|lắch măn
lukoil|lúch coi
lukowski|lắch cóp xờ cy
luks|lắch xờ
lukyanov|lúch ci a náp
lula|lu la
lula's|lu lă
